Header,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
65.61,2.99479449,0.44957188,90.55962665,0.61412172,0.97502576,-0.85317422,-4.25840407,4.66819588,-14.12239065,-10.13555235,18.46594755,7.08155695,0,26.83596314,-5.95771489,-6.86693163,-43.9442877,5.9397689,-11.31968539,0,0,0,0
65.615,3.05552005,0.46206108,90.44061148,0.61414485,0.9745912,-0.85279604,-4.8046934,4.74604699,-14.13468583,-9.8758534,18.51874209,7.23531412,0,26.85180066,-6.00343829,-6.86047378,-42.2083663,6.05515293,-11.02060896,0,0,0,0
65.62,3.11412487,0.48225901,90.32703686,0.6141346,0.9741298,-0.85244924,-5.3542693,4.81724039,-14.13477576,-9.63141596,18.57113043,7.38235157,0,26.83320179,-6.04203146,-6.83412605,-40.4362062,6.15656373,-10.63555395,0,0,0,0
65.625,3.17005732,0.50600888,90.21735161,0.61409723,0.97363763,-0.85213432,-5.90109239,4.88088697,-14.1245581,-9.40512204,18.62842613,7.51932904,0,26.78563208,-6.07463504,-6.78849318,-38.63373503,6.232953,-10.17552099,0,0,0,0
65.63,3.22485389,0.53594611,90.11344075,0.61402952,0.97311923,-0.85185506,-6.44809279,4.93830336,-14.10789785,-9.19740852,18.6863178,7.65023966,0,26.70789221,-6.10162898,-6.71916439,-36.80781715,6.29184268,-9.64838812,0,0,0,0
65.635,3.2783822,0.57392668,90.01495412,0.6139312,0.97257915,-0.85161383,-6.99667688,4.98862013,-14.0869207,-9.00976264,18.74717316,7.77750263,0,26.60030218,-6.12392944,-6.6273882,-34.96719311,6.33124201,-9.06379389,0,0,0,0
65.64,3.32941877,0.61716064,89.92103136,0.61380472,0.97201476,-0.85141021,-7.54290082,5.03022896,-14.06127363,-8.84420797,18.81568821,7.90260603,0,26.46765838,-6.14084537,-6.51346203,-33.11967566,6.34766544,-8.44026402,0,0,0,0
65.645,3.37946994,0.66356926,89.83103473,0.61365102,0.97142596,-0.85124228,-8.08354094,5.06407987,-14.03320361,-8.70190868,18.88719974,8.02874344,0,26.315443,-6.15513657,-6.37869947,-31.27601871,6.34430649,-7.78929539,0,0,0,0
65.65,3.42584988,0.7150011,89.74176581,0.61347469,0.97081773,-0.85110521,-8.6177687,5.0862919,-13.99987237,-8.587861,18.96835544,8.15523182,0,26.14326196,-6.16575426,-6.22676203,-29.44466381,6.31595997,-7.12956685,0,0,0,0
65.655,3.47298084,0.76634972,89.65225175,0.61327722,0.97018506,-0.85099774,-9.14103849,5.10122289,-13.96231639,-8.49933877,19.04615536,8.29103356,0,25.96157352,-6.17974103,-6.06340081,-27.6409599,6.28032129,-6.46099408,0,0,0,0
65.66,3.5150746,0.81747407,89.55771285,0.61306619,0.9695332,-0.85090841,-9.64723879,5.10090655,-13.915442,-8.44667853,19.13349557,8.43036472,0,25.77089861,-6.1927711,-5.89375084,-25.87089376,6.22179806,-5.80861978,0,0,0,0
